question,answer,intent
따뜻한 물 좀 주실 수 있어요?,여기요,물요청
물은 갖다 먹으면 돼요?,냉장고 물이 차가워서 따뜻한 물 갖다 드리려고 했는데 직접 드셔도 돼요,물요청
물 좀 주세요,네,물요청
따뜻한 물 좀 주세요,네,물요청
따뜻한 물 한잔 좀 주세요,물은 셀프예요,물요청
따듯한 물 한 잔 마실 수 있나요?,네,물요청
따뜻한 물 좀 먹을 수 있을까요?,요기 정수기 있어요,물요청
뜨거운 물 좀 주시겠어 예?,여기 나오셔갖고 받아 가시면 돼요,물요청
따듯한 물 주세요,네,물요청
물은?,거기 정수기 있습니다,물요청
네 정식 하나 주세요 물 좀 마셔도 돼요 뜨거운 물?,아 네 마시세요,물요청
죄송한데 물 조금만 주시겠어요?,네 뜨거울 거예요,물요청
따뜻한 물은 없어요?,저기 있어요,물요청
물은 어디에 있어요?,창가 쪽에 있어요,물요청
끓인 물도 있어요?,보이차 금방 내려드릴게요 많이 뜨거워요,물요청
뜨거운 물도 있어요?,네 따뜻한 물은 앞쪽에서 이용하시면 돼요,물요청
여기 따뜻한 물은 없어요?,저기 정수기 물 한 컵 드릴게요,물요청
따뜻한 물은 어디 있어요? 따뜻한 물 한잔 주세요,네,물요청
물 한잔 주세요,까만 정수기 이용하시면 돼요,물요청
죄송한데 물 좀 따뜻한 거?,여기 옆에 정수기 있어요,물요청
여기 찬물 말고 따뜻한 물 주시면 안 돼요?,네 드릴게요,물요청
물 좀 주세요,네,물요청
물은 여기 먹으면 돼요?,네,물요청
물 좀 주세요,예,물요청
따뜻한 물 없어요?,정수기에 따르면 됩니다,물요청
여기 따뜻한 물 좀 주시겠어요?,저기 주전자 있어요,물요청
여기 따뜻한 물 마시려고 하면은 어떡해야 하지요?,정수기에 따뜻한 물은 있어요,물요청
따뜻한 물 좀 부탁드려도 될까요?,네 드릴게요,물요청
물 따뜻한 거 있어요?,네 드릴게요,물요청
물 좀 주세요,네 가져다드릴게요,물요청
물 좀 갖다 주세요,네 여기 있습니다,물요청
물은 어디 있어요?,물통에 있어요,물요청
물 좀 따뜻한 걸로 주시겠어요?,네 가져다드릴게요,물요청
따뜻한 물 좀 주시겠어요?,셀프예요,물요청
따뜻한 물 주시겠어요?,네 여기 있습니다,물요청
따뜻한 물 있어요?,네 갖다 드릴게요,물요청
물도 좀 주세요,물은 셀프 바에스 가져다 드시면 됩니다,물요청
저기 따뜻한 물 좀 주실 수 있어요?,네,물요청
미안하지만 따뜻한 물 좀 주시겠어요?,네,물요청
따뜻한 물 한 잔만 주세요,네,물요청
따뜻한 물로 하나 주시겠어요?,갖다 드릴게요,물요청
따뜻한 물 하나 주시겠어요?,네,물요청
혹시 따뜻한 물 줄 수 있어요?,잠시만요 받아들일게요,물요청
여기 물 한 잔 먹을 수 있어요?,가져다드릴게요,물요청
미안한데 여기 따뜻한 물 한 컵 주실 수 있어요?,네,물요청
따뜻한 물 좀 주세요,네,물요청
그리고 따뜻한 물 하나 주시겠어요?,저기 코너에 정수기 물 이용하시면 돼요,물요청
물은 어디 있어요?,물은 앞쪽에 정수기에서 떠드시면 돼요,물요청
물 따뜻한 거 하나 줄래요?,정수기는 뒤편에 있어요,물요청
이거 뜨거운 물인가요?,아뇨 그냥 밀면은 차가운 물이고 뜨거운 버튼 누르고 밀면 뜨거운 물입니다,물요청
뜨거운 물?,셀프예요,물요청
뜨거운 물 좀 먹어도 돼요?,네,물요청
동파육이랑 멘보샤를 주문하려면 미리 연락해야 한다고 들었어요,적어도 3일 전에는 말씀해주셔야 합니다,미리주문메뉴문의
저기 육수 캔이라는 거는 다 파시는 거예요?,판매용이 아니고 전시용이에요,반찬판매문의
그러니까 반찬도 따로 주문하면 팔 수도 있나요?,일부러 하기는 좀 그렇고 주문하시면 돼요,반찬판매문의
네 고맙습니다 여기 반찬도 파시는가 보죠?,네,반찬판매문의
이거 좀 짠 거 같아서 그런데 밥 조금만 더 주시면 안 돼요?,네 갖다 드릴게요,밥요청
밥 추가해야 하나요?,포함입니다,밥포함여부문의
중간 매운맛으로 주세요 공깃밥이 나오나요?,아니요 추가하셔야 합니다,밥포함여부문의
된장찌개에는 밥이 나오나요?,네 기본적으로 된장찌개에는 밥이 하나 있습니다,밥포함여부문의
밥은 따로 주문해야 하나요?,네 밥은 따로 주문하셔야 합니다,밥포함여부문의
공깃밥도 주시나요?,김치찌개는 공깃밥 포함이고 제육볶음은 따로 시키셔야 합니다,밥포함여부문의
밥도 같이 주나요?,네 잠시만요,밥포함여부문의
밥은 안 나와요?,밥은 안에 들어있어요,밥포함여부문의
이거 밥값 포함된 거예요 17000원에?,네,밥포함여부문의
공깃밥은 별도로 시켜야 되나요?,네,밥포함여부문의
밥은 없이 전골만?,네 밥은 별도입니다,밥포함여부문의
짬뽕이면 면하고 해서?,아니요 면 없이 밥은 그냥 뒤에서 담아드시면 돼요,밥포함여부문의
참치 스파이스 치킨에도 밥이 나오나요?,네 나옵니다,밥포함여부문의
그러면 거기에 밥도 같이 나오나요?,네,밥포함여부문의
여기 밥도 추가돼요?,밥은 무료라서 원하시는 데로 추가하시면 돼요,밥포함여부문의
밥은 어떻게 돼요?,서비스로 매운탕 드려요,밥포함여부문의
배달은 몇 인분 이상 배달되는가요?,10000원 이상되면 근처만 배달해 드려요,배달가능범위문의
배달은 얼마부터 해줘요?,최소 두 그릇은 시켜야지요,배달가능범위문의
배달은 어디까지 돼요?,배달은 안 해요 포장은 가능하세요,배달가능범위문의
일 인분도 돼요?,네,배달가능범위문의
배달시킬라 카면 만 이천 원 이상이어야 배달되네,네 배달료도 이천 원 또 나와요,배달가능범위문의
밥 종류도 배달되나요?,밥 종류도 다 돼요,배달가능범위문의
그럼 몇 인분 이상?,2인분 이상부터요,배달가능범위문의
배달은 얼마 이상 사야 되나요?,두 그릇 이상이셔야 합니다,배달가능범위문의
가격대 얼마 이상만 와요?,2그릇 이상 배달 가요,배달가능범위문의
두 그릇 이상 되어야 하죠?,네 그렇죠,배달가능범위문의
탕수육 7천 원짜리하고 짬뽕도 배달되나요?,세트로 해서 두 가지 이상 돼야 배달이 돼요,배달가능범위문의
그러면 한 얼마 정도 이상 돼야 되죠?,한 이만 원 이상 하셔야 돼요,배달가능범위문의
여기는 얼마 이상 배달해줘요?,배달은 만원 이상이고 범물 지산동은 배달료 천 원 있어요,배달가능범위문의
많이 하면 얼마쯤 말씀하시는 거예요?,한 스물다섯 개요,배달가능범위문의
얼마 이상 배달되는 거예요?,김밥은 오만 원 이상 되고요 일반 메뉴는 이만 원 이상이요,배달가능범위문의
얼마 이상 돼요?,배달은 다 되는데 이만 원 이상은 수수료가 없어요,배달가능범위문의
얼마 이상 배달해요?,김밥은 열 줄은 해야 배달되죠,배달가능범위문의
여기 배달은 안 하시잖아요?,네,배달문의
네 있네요 그럼 점심때는 배달되신다 그러지 예?,네 안녕히 가세요,배달문의
점심때 배달 많이 하시나 봐요?,네,배달문의
배달은 되나요?,배달은 안됩니다,배달문의
가지러 와야 되나요?,네 가지러 오셔야 해요,배달문의
혹시 배달되나요?,네 17000원 이상 되면 배달됩니다,배달문의
배달은 하시나요?,배달은 안돼요 전화 주시고 포장해 가져가셔야 돼요,배달문의
배달도 돼요?,"네 13000원 이상부터 되고 배달의 민족, 전화 주문도 배달돼요",배달문의
혹시 배달은 하시는가 예?,배달은 안 하고 포장은 다 돼요.,배달문의
배달도 돼요?,네 배달도 돼요. 배달비가 들어서 할인은 안 들어가요,배달문의
혹시 여기 배달은 하시는가요?,배달은 안 되고 포장만 가능하고 퀵은 가능합니다,배달문의
그러면 혹시 테이크아웃은 되죠? 배달은 안되고?,네 배달은 안 되고요,배달문의
그래요 혹시 여기 배달되는가요?,배달은 안 해요,배달문의
배달은 그럼 몇 시부터 몇 시까지 할 수 있는데요?,배달은 10시 반부터 10시까지 가능해요,배달문의
여기 배달도 하시는가요?,네,배달문의
혹시 여기 배달되시는가요?,아니오 저희 배달은 안 해요,배달문의
배달도 해요?,배달은 안 해요,배달문의
배달도 되시죠?,아니요,배달문의
배달은 안돼요?,배달도 해요,배달문의
여기 배달하시는가요?,네,배달문의
여기 배달은 안 되죠?,배달은 가능하신데 배달료 3000원 추가되세요,배달문의
배달도 되고?,네 배달도 됩니다,배달문의
배달도 되나요?,배달은 안되고 그냥 포장만 됩니다,배달문의
배달도 되나요?,네,배달문의
배달도 되죠?,상인동 배달돼요,배달문의
배달은 안 해요?,배달도 해요,배달문의
그럼 이 주위에 배달도 해주나요?,네 배달하죠,배달문의
배달 같은 것도 해주나요?,배달 안 해요 일부 품목만 포장은 돼요,배달문의
여기 배달도 돼요?,배달은 아직 안 됩니다,배달문의
배달은 어디까지 해요?,가까운데 만 해요,배달문의
배달은 일 인분도 배달돼요?,네,배달문의
배달료 따로 드려야 하나요?,아뇨 대신 거리에 따라서 퀵 빗가 차이가 나니까 배달 최소 금액이 달라져요 고객이 퀵 비틀 부담하신다고 하시면 작은 금액도 해드리고요,배달문의
여기 배달도 하시는가요?,배달은 안 합니다,배달문의
반찬 그거도 배달되는가요? 아까 배달료 3천 원 해가지고,네 같이 돼요 퀵 버는 부담하셔야 하고요,배달문의
계산 먼저 하는가 아 혹시 배달도 하나요?,배달하는데요 퀵 비틀 부담하셔야 해요,배달문의
배달도 하시는가요?,배달은 안됩니다 낮에 바빠서요,배달문의
배달은 몇 인분부터 돼요?,배달은 안됩니다,배달문의
배달은 안되고요?,네,배달문의
배달도 돼요?,네 배달해요,배달문의
배달도 가능해요?,네 가능합니다,배달문의
배달은 안되죠?,네 배달은 안되고 포장만 가능해요,배달문의
배달은 안 되나요?,멀리는 안 돼요,배달문의
배달도 돼요?,네 배달 가능해요,배달문의
배달되는가요?,배달 안 해요,배달문의
배달도 하시는가요?,저희는 홀 위주로 하고 배달은 방학 때만 가능해요,배달문의
배달도 하시는가요?,네 배달합니다,배달문의
여기는 배달도 돼요?,배달은 안되고 포장만 가능하세요 아니면 퀵으로는 해드려요,배달문의
여기 배달도 해주시나요?,아직은 배달은 안 하고 다음 주 정도 할 예정이에요,배달문의
그래요 집이 이 근천데 배달도 해줘요?,네 배달도 돼요,배달문의
가락국수도 와요?,네 가락국수도 갑니다,배달문의
여기 배달시켜도 홀에서 나오는 거 하고 똑같이 와요?,반찬 종류는 비슷해요 똑같진 않아요,배달문의
배달은요?,안돼요,배달문의
배달되나요?,아니요,배달문의
여기 배달도 되나요?,아니요 배달은 안 해요,배달문의
배달은요?,배달은 안돼요,배달문의
배달하시는 거예요?,네,배달문의
여기 배달도 하시나요?,배달은 안 하고요 테이크 아웃만 해요,배달문의
그리고 배달되는가요?,네 근처 배달돼요,배달문의
배달도 돼요?,네,배달문의
혹시 배달은 되는가요?,아니요 돈가스가 식어서 배달은 안 하고 포장은 합니다,배달문의
배달돼요?,네,배달문의
배달은 안되시죠?,배달은 안돼요,배달문의
여기 배달은 안 해요?,배달은 만 원 이상부터 돼요 배달비는 없고요,배달문의
배달은요?,아니요 배달은 안 해요,배달문의
여기 배달도 많이 시켜 먹어요?,네 거의 배달이에요,배달문의
우리가 가지러 와야 돼요?,네,배달문의
그럼 배달은 되나요?,배달은 안돼요,배달문의
가게에서 퀵을 불러서 보내주시진 않고요?,네,배달문의
퀵으로 배달이 가능해요?,퀵을 저희 가게로 보내시면 준비해서 보내드려요,배달문의
여기 배달은 안되죠?,배달은 따로 안 합니다,배달문의
혹시 배달되는가요?,네 배달돼요,배달문의
여기 배달도 하시는가요?,네 배달합니다,배달문의
저희 직접 가지러 안 오고 배달되는 거죠?,네 오만 원 이상은 배달돼요,배달문의
배달은 안 해주죠?,배달합니다,배달문의
배달도 돼요?,멀리는 안되고 가까운데요,배달문의
그러면 17000원 넘으면 추가 배달료는 없다 그죠?,네,배달비문의
배달료 따로 내야 돼요?,네 인원도 배송은 11000원이고 좀 더 먼 곳은 15000원입니다,배달비문의
배달료 따로 안내도 되죠?,요기요에는 배달료가 있고 배달의 민족은 없어요,배달비문의
배달료 따로 드려야 되나요?,아니요 없습니다,배달비문의
배달하면 퀵 비틀 따로 드려야 됩니까?,아니요 그런 건 없습니다,배달비문의
얼마 이상 하면 그런 거 없어요?,네 한 그릇도 배달 가능하고요,배달비문의
배달료 별도로 들어가죠?,"만 오천 원 이하는 이천 원 본인 부담하시고, 삼만 원 이하는 천 원 본인 부담하시고, 삼만 원 이상은 무료예요",배달비문의
배달료 따로 얼마?,천 원인데 일 인분당 오백 원씩 더 붙어요,배달비문의
배달하면 배달료는 안 받고요?,배달료 따로 있어요,배달비문의
배달비 따로 드려야 돼요?,아뇨,배달비문의
배달료는 따로 없나요?,배달료는 저희가 부담해요,배달비문의
배달료 따로 드려야 하나요?,아뇨 배달료 따로 없어요,배달비문의
배달은 무료로 해주시는가요?,네 배달료 따로 없어요,배달비문의
배달비는 따로 받나요?,이만 오천 원 주문하시면 배달비 없어요,배달비문의
배달료는요?,천 원 정도 발생하고요,배달비문의
배달료 얼마에요?,천 원이요,배달비문의
아 뭐 배달료 따로 지불해야 하는가요?,이만 원 이상 하시면 무료고요 그 밑으로는 금액마다 달라요,배달비문의
배달비 혹시 따로 받으시는가요?,아니요,배달비문의
지금 주문하면 얼마쯤 있다가 도착하나요?,3~40분이요,배달시간문의
배달 주문하면 얼마쯤 소요되나요?,그때그때 달라요. 지금 같은 경우에는 20분 하면 충분히 가죠,배달시간문의
오인분 정도 배달하려면 얼마나 걸려요?,거리에 따라 다르기는 한데 사십분 정도 걸려요,배달시간문의
앱으로도 배달하세요?,앱으로는 안 해요,배달앱문의
여기도 배달 앱에 올라와 있어요?,네 배달은 가는데 일회 용기에요,배달앱문의
그럼 앱으로는 배달 있어요?,배달의 민족에서만 있어요,배달앱문의
앱으로도 배달되세요? 어떤 앱에 가입되어 있으신데요?,배달의 민족하고 요기요입니다,배달앱문의
앱으로는 배달되시는지 예?,네 배달의 민족요,배달앱문의
배민 라이더스로는 배달이 다 된다는 거네요?,배민은 대구 시내 다 돼요,배달앱문의
배민 라이더스 저게 뭐예요?,배달의 민족이에요,배달앱문의
배달의 민족 앱으로 배달은 안 하세요?,배달 자체를 안 합니다,배달앱문의
앱으로도 배달되는가요?,네 요즘은 배달 앱으로 주문돼요,배달앱문의
앱으로는 주문 안 되나요?,네 안 받아요,배달앱문의
여기 배달 앱 같은 데는 안 올라와 있어요?,저희 배달 가능한데 중구만 가능하거든요,배달앱문의
다른 데는 배달 앱 시키면 수수료가 많이 나가서 많이 남는 게 없다고 하더라고요,퀵 비틀 저희가 내기 때문에 배달 앱이 더 나아요,배달앱문의
전화로 하는 것 보나요?,네 오시는 게 제일 좋죠,배달앱문의
배달 앱 보다 와서 시키거나 전화로 시키는 게 나아요?,직접 오시는 게 제일 낫고 그다음에는 배달 앱으로 시키는 게 좋아요,배달앱문의
여기도 배달 앱에서 많이 시키겠네요?,네 배달 앱하고 전화로도 주문 많이 주세요,배달앱문의
여기는 홀에 와서 잘 안 먹고 배달 전문인가 봐요?,반반이에요,배달음식점여부문의
여기 수성 4가인데 배달되나요?,수성 4 가는 다 배달됩니다,배달장소범위문의
보건대 있는 데는 배달 안 되죠?,그쪽 위치는 잘 몰라요,배달장소범위문의
그럼 성안 오피스텔 배달돼요?,네 가능하세요,배달장소범위문의
상인 1동까지 배달돼요?,네 됩니다,배달장소범위문의
배달도 하시네 예?,네,배달장소범위문의
롯데백화점 근처에 배달도 해주시나요?,배달은 안 해요,배달장소범위문의
북구청 옆에도 가정집에 배달해줘요?,안돼요 이 근처만 돼요,배달장소범위문의
북구청 쪽으로도 배달이 돼요?,한두 그릇은 안 가요,배달장소범위문의
하양 이쪽은 배달 다 되지요?,다는 안 됩니다,배달장소범위문의
상인 대성 스카이 백이 동 천오백 삼혼데 탕수육 하나하고 짬뽕 하나만 배달해주시겠어요?,포장만 되고 배달은 안됩니다,배달주문
그러면 떡볶이 말고 또 뭐 있어요?,라면 말고 다 돼요,배달주문문의
전화로 다 주문하나요?,네 전화로 주문하고 퀵 기사님에게 음식 받는 사람이 음식값까지 지불하면 됩니다,배달주문문의
배달 주문은 어디로 해요?,주문은 배달의 민족에 보시면 있어요,배달주문문의
이거 버너 불 좀 켜주세요,네,버너점화요청
이 집에서 가장 인기 있는 메뉴가 뭔가요?,저희 집은 김치전골과 돼지고기 김치찜이 제일 잘나갑니다,베스트메뉴문의
제일 인기 있는 메뉴가 무엇인가요?,김치 갈비찜이 제일 많이 나가요,베스트메뉴문의
지금 제일 잘나가는 사이드 메뉴가 뭐예요?,감자 치즈볼이 제일 잘 팔립니다,베스트메뉴문의
이 중 베스트 메뉴가 뭔가요?,목살 스테이크 세트입니다,베스트메뉴문의
여기 추천 음식은 무엇인가요?,손님들께서 많이 시키는 음식은 누룽지탕과 찹쌀탕수육입니다,베스트메뉴문의
여기 뭐가 제일 잘 팔리나요?,순댓국이랑 얼큰 순댓국이 제일 잘 팔려요,베스트메뉴문의
여기 뭐가 제일 맛있나요?,저희 가게는 다 맛있어요,베스트메뉴문의
여기 메뉴 중 무슨 음식이 가장 잘 나가나요?,카르보나라 파스타와 치즈피바 세트가 가장 잘 나가요,베스트메뉴문의
인기 있는 메뉴가 뭔가요?,양념 소갈비가 잘 나가고 있습니다,베스트메뉴문의
혹시 이곳 인기 메뉴가 무엇인가요?,여긴 초밥정식이 맛있어요!,베스트메뉴문의
요새 어떤 메뉴가 제일 잘나가나요?,요새는 불고기 짬뽕이 제일 잘나갑니다,베스트메뉴문의
어떤 메뉴가 제일 인기 있어요?,2인 기준으로 a 세트 많이 주문하세요,베스트메뉴문의
이 집에서 잘 나가는 게 뭐예요?,멸치국수입니다,베스트메뉴문의
어떤 종류 있어 예? 좀 잘 나가는 거,메뉴가 많으니 좋아하시는 거 따로 주문하셔도 되고 천천히 보시고 주문하셔도 돼요,베스트메뉴문의
여기는 뭐가 주메뉴에요?,샐러드 돈가스랑 그냥 돈가스가 제일 많이 나가요,베스트메뉴문의
어떤 파스타가 제일 잘나가요?,크림 파스타가 제일 잘나가요,베스트메뉴문의
주로 어떤 게 잘 나가요?,다 종류별로 잘 나가요 취향 따라 고르시면 돼요,베스트메뉴문의
세트 메뉴가 잘 나가요 아니면 그냥 단품 돈가스가 제일 잘나가요?,"세트는 메밀 세트가 제일 잘나가고요 치즈 돈가스, 등심, 더블 이런 단품도 잘 나가요",베스트메뉴문의
주로 잘 나가는 거는 어떤 건가요?,기본적으로 등심 돈가스가 잘 나가고요 철판 돈가스도 많이 드세요,베스트메뉴문의
제일 잘나가는 돈가스는 어떤 거예요?,포크 매콤 일식이 제일 잘나가요,베스트메뉴문의
뭐가 제일 맛있어 예?,다 맛있어요,베스트메뉴문의
짬뽕이 주메뉴인가요?,네 짬뽕도 있고 짬뽕밥도 있습니다,베스트메뉴문의
뭐가 잘 나가요?,다 맛있어요,베스트메뉴문의
그러면 뭐가 맛있어요?,면 종류 좋아하시면 돈코쓰 라멘이라고 돼지고기 육수로 된 게 제일 잘나가고요 매콤한 거 좋아하시면 야끼 가락국수나 김치 냄비 가락국수이요,베스트메뉴문의
가츠동 새우 프라이 카레 뭐가 잘 나가요?,식사하실 거면 보통 가츠동이요,베스트메뉴문의
굴 국밥 저런 게 잘 나가요?,네,베스트메뉴문의
요즘은 홍게 게살 저게 제일 잘나가죠?,네 드라마에 계속 나와요,베스트메뉴문의
잘 나가는 게 짬뽕이에요?,짬뽕 종류가 많이 나가요,베스트메뉴문의
주로 어떤 게 잘 나가요?,우리 집은 다 잘 나가요,베스트메뉴문의
뭐가 맛있어요?,돈가스 제일 많이 나갑니다,베스트메뉴문의
어떤 게 잘 나가요?,"세트 메뉴도 많이 나가고요 단품 경우에는 떡볶이, 튀김 취향대로 골라서 드세요",베스트메뉴문의
뭐가 맛있어요?,신메뉴가 잘 나가요,베스트메뉴문의
뭐가 제일 맛있어요?,다 맛있어요,베스트메뉴문의
어떤 게 주로 잘 나가요?,떡볶이 잘 나가요,베스트메뉴문의
어떤 게 잘 나가요?,정식 잘 나가요,베스트메뉴문의
메뉴 어떤 게 잘 나가요?,다 잘 나가요,베스트메뉴문의
좀 잘 나가는 거 어떤 메뉴에요?,돌솥비빔밥 만둣국 육개장 잘 나가고 있어요,베스트메뉴문의
여기는 뭐가 맛있어요?,칼국수랑 들깨 이렇게 많이 나가요,베스트메뉴문의
어떤 게 주로 잘 나가요?,정식이 잘 나가죠,베스트메뉴문의
뭐 제일 많이 먹어요?,놀부부대찌개 기본을 제일 많이 먹죠,베스트메뉴문의
여기는 뭐가 많이 나가요?,닭개장도 많이 나가고 비빔밥도 많이 나가요,베스트메뉴문의
보통 어떤 거 제일 많이 시켜요?,기본 삼계탕 제일 많이 시키시죠,베스트메뉴문의
어떤 게 젤 많이 나가요?,금계 삼계탕이 잘 나가요,베스트메뉴문의
모둠 국밥이랑 갈비탕 중에 뭐가 잘 나가요?,아무래도 여기는 국밥 전문집이다 보니까 국밥이 더 잘 나가죠,베스트메뉴문의
그러면 어떤 거 시켜야 해요? 잘 나가는 거 맛있는 거?,원하는 거 시키시면 돼요,베스트메뉴문의
그래도 잘 나가는 거 있어요?,돌솥비빔밥이요,베스트메뉴문의
메뉴판 주세요 주로 어떤 거 많이 드세요?,비빔밥류에요,베스트메뉴문의
요리 종류는 어떤 게 잘 나가요?,요리 종류는 탕수육 같은 게 잘 나가요,베스트메뉴문의
겨울 이여 가지고 그래도 짬뽕이 제일 잘나가죠?,네 짜장면도 잘 나가고요,베스트메뉴문의
주로 잘 나가는 거 있어요?,다 잘 나가요,베스트메뉴문의
제일 잘나가는 게 어떤 거예요?,기본으로 많이 드세요,베스트메뉴문의
주로 잘 나가는 건 어떤 거?,다 잘 나가요,베스트메뉴문의
어떤 게 잘 나가요?,먹고 싶은 걸 선택하세요,베스트메뉴문의
양 꼬치 어떤 게 잘 나가요?,요거 두 개 양 꼬치가 제일 많이 나가요,베스트메뉴문의
짬뽕이 더 많이 나가죠?,야끼 가락국수도 많이 나가고 거의 다 골고루 다 잘 나갑니다,베스트메뉴문의
어떤 게 잘 나가요?,거의 다 잘 나가요,베스트메뉴문의
요리 어떤 거 주문 많이 하는가요?,요리 같은 경우는 보통 드시고 싶은 거 드셔야죠,베스트메뉴문의
주로 잘 나가는 건 어떤 거예요?,보통 돈가스 드시고요 돈부리 이런 것도 느끼한 거 싫어하시면 잘 나가요,베스트메뉴문의
뭐 어떤 거 잘 나가요?,다 골고루 잘 나가긴 해요 약간 선호도에 따라서 결정하시면 되실 것 같으세요,베스트메뉴문의
라멘 중에는 제일 많이 나가는 건 어떤 거예요?,탄탄멘 정식이 제일 많이 나가고요 매운 거 싫어하시는 분은 돈코쓰 정식을 많이 드세요,베스트메뉴문의
여기는 뭐가 잘 나가요? 저 혼자 먹을 건데,돈가스랑 라면같이 나오는 세트랑요 가락국수랑 돈가스랑 나오는 세트가 잘 나가요,베스트메뉴문의
매운 돈가스가 제일 잘나가죠?,아니요 그것보다 그냥 안심 돈가스가 제일 잘나가요,베스트메뉴문의
여기 어떤 거 잘 나가요?,돈코쓰 라멘이랑 얼큰 라멘 텐코쿠 라멘이 잘 나가요,베스트메뉴문의
어떤 게 제일 잘나가요?,생연어샐러드 새우 샐러드 잘 나가요,베스트메뉴문의
어떤 게 제일 많이 나가요?,여기 베스트 적혀 있는 게 제일 많이 나가요,베스트메뉴문의
어느 게 잘 나가요 저기서?,돈가스도 잘나가고 정식도 잘 나가요,베스트메뉴문의
뭐가 제일 잘나가요?,다 잘 나가요,베스트메뉴문의
뭐가 많이 나가요?,떡볶이가 제일 많이 나가요,베스트메뉴문의
진미는요?,매콤한 거 좋아하시는 분들이요,베스트메뉴문의
어떤 게 젤 잘 나가요?,원조랑 참치가 잘 나가요,베스트메뉴문의
뭐가 잘 나가요?,비빔 하나 유부 하나요,베스트메뉴문의
어떤 게 많이 나가요?,기본이 제일 잘나가고요,베스트메뉴문의
어떤 게 잘 나가요?,제육 쌈 잘 나가고 참치 잘 나가고 매콤한 건 멸치 김밥이요,베스트메뉴문의
김밥 중에서 어떤 게 잘 나가요?,기본이 제일 잘나가고 참치도 괜찮고 매운 건 땡초가 잘 나가고요,베스트메뉴문의
김밥은 종류가 어떤 거 잘 나가요?,자기 식성에 따라서 달라요,베스트메뉴문의
어떤 게 제일 잘나가요?,참치김밥 제일 잘나가요,베스트메뉴문의
주로 어떤 게 잘 나가요?,라면 먹는 사람도 있고 사람마다 잡수고 싶은 게 달라요,베스트메뉴문의
그럼 어느 게 잘 나가요?,김밥은 기본 김밥이 제일 잘나가고 김밥 종류가 많아서 각자 좋아하는 스타일대로 드세요,베스트메뉴문의
여기에서 제일 잘나가는 메뉴가 뭐예요?,제육볶음을 많이 드십니다,베스트메뉴문의추천요청
여기 북촌 삼청동에 있는 거 하고 체인점 맞아요?,잘 모르겠는데 거기에 많아요,본점지점문의
구미는 하나뿐이죠?,네 구미는 저희 점포 하나뿐이에요,본점지점문의
여기는 체인점이에요? 대구에만 있는 거예요?,대구에만 요,본점지점문의
본점은 어딨어요?,잘 모르겠는데요,본점지점문의
본점이 따로 있어요? 체인점이죠?,네,본점지점문의
여기 체인점이신가요?,아닙니다,본점지점문의
여기도 프랜차이즈죠?,네 맞아요,본점지점문의
여기가 체인점입니까?,네 맞아요,본점지점문의
체인점이에요?,네 체인점이에요,본점지점문의
여기도 매나 체인점인가 봐요?,네 체인입니다,본점지점문의
여기 체인이에요?,이름만요,본점지점문의
시내에 있는 개정이 체인점이에요?,저희는 직영점입니다,본점지점문의
여기가 체인점이구나,네 체인점이에요,본점지점문의
대구면 옥이 체인점이에요?,아닙니다,본점지점문의
다른 곳에도 있던데 본점이 어디예요?,그거는 모르겠어요,본점지점문의
체인점은 맞죠?,네,본점지점문의
여기가 만촌동에 있는 짬뽕집이랑 똑같은 거예요?,똑같은 집은 아니고요 그 집보다는 저희가 조금 더 매울 거예요,본점지점문의
체인점이에요?,아뇨,본점지점문의
본사는 어디 있어요?,부산에 있습니다,본점지점문의
뷔페 면 스테이크만 먹을 수는 없나요?,스테이크만 드시려면 포장으로 가져가셔야 해요,뷔페이용문의
스테이크는?,스테이크는 샐러드 바를 기본으로 먼저 주문하신 후에 주문하셔야 해요,뷔페이용문의
뷔페?,네 4시가 넘어서 지금 혼자 식사하시게 되면 성인 기준 29700원입니다,뷔페이용문의
뷔페 이용하려면,스무 명 이상 예약할 때 가능합니다,뷔페이용문의
그럼 언제 식사 가능한가요?,저희 5시부터 다시 영업합니다,브레이크타임문의
지금 식사 가능한가요?,죄송합니다 저희 지금 브레이크 타임이라 식사 어려우세요,브레이크타임문의
브레이크 타임도 없는가 봐요?,네 없어요,브레이크타임문의
몇 시부터 브레이크 타임인데요?,3시부터 4시 반까지는 브레이크 타임이에요,브레이크타임문의
브레이크 타임은 언제?,세시부터 다섯시까지 평일에만 있습니다,브레이크타임문의
브레이크 타임은 몇 시부터예요?,1시간 반 동안 해요 세시부터 네시 반까지요,브레이크타임문의
브레이크 타임은 없나 봐요?,네 없어요,브레이크타임문의
브레이크 타임은 없어요?,네 브레이트 타임은 따로 없어요,브레이크타임문의
브레이크 타임도 있어요?,네 세시부터 네시 반까지요,브레이크타임문의
브레이크 타임도 없겠어요?,그런 거 없죠,브레이크타임문의
브레이크 타임도 있어요?,세 시부터 다섯 시까지 두시 반까지 마지막 주문받아요,브레이크타임문의
좀 쉬는 타임이 있어요? 브레이크 타임?,특별히 브레이크 타임 없어요,브레이크타임문의
브레이크 타임은?,브레이크 타임은 세 시부터 다섯 시까지예요,브레이크타임문의
여기 브레이크 타임은 언제예요?,세 시부터 다섯 시까지인데 손님은 네 시 반부터 받아요,브레이크타임문의
여기 브레이크 타임 있어요?,그런 건 없어요,브레이크타임문의
